#Best run for each simulation of the study Legrain et al., (2023): A gradual change is more likely to have caused the Mid-Pleistocene Transition than an abrupt event;;;;;;;;
;;;;;;;;
Age (ka);ORB simulation Ice volume (m sl);ABR simulation Ice volume (m sl);GRAD simulation Ice volume (m sl);ABRkO simulation Ice volume (m sl);GRADkO simulation Ice volume (m sl);ABRag Ice volume (m sl);GRADag Ice volume (m sl);SYN simulation Ice volume (m sl)
1854;24.68536295;20.16775636;14.50508413;28.10244865;29.10055267;25.96430935;14.13867444;19.57320686
1853;18.75723619;16.95695301;10.82018016;24.42307278;24.65277655;21.2538574;12.15797154;17.44788402
1852;13.73739564;14.42317764;7.866166244;21.20425267;20.69538931;17.58743966;10.42761543;15.45179338
1851;9.794399721;12.61125406;5.750719737;18.39587587;17.2294619;14.92845231;9.120749692;13.6420491
1850;7.005953251;11.40563269;4.442635353;15.96506204;14.31002698;13.06754772;8.321991214;12.05899282
1849;5.402876504;10.72240488;3.907584568;13.87825345;11.95852237;11.85252756;8.103606012;10.73152686
1848;6.074267827;12.17426989;4.296621697;14.09893426;10.49178685;11.53888833;8.506104792;9.678208874
1847;7.915580421;14.30013764;6.338736618;14.80113711;11.07699882;13.47157684;9.47023109;8.907883671
1846;10.42460543;16.64520222;8.794026229;15.55548468;11.9297799;15.57755662;10.83828655;8.42086694
1845;13.33966098;19.08128453;11.4625914;16.35683292;13.00397133;17.71941382;12.45019594;8.210681465
1844;16.46780924;21.46685644;14.17088141;17.20476688;14.28654263;19.74099474;14.17158914;8.266969394
1843;19.6446053;23.58729882;16.71621079;18.10777371;15.81515706;21.39614668;15.85741922;8.575944538
1842;22.75208003;25.31607578;18.97076697;19.06799739;17.59816783;22.54352548;17.41113078;9.108995209
1841;25.70402147;26.63032467;20.88353185;20.07890608;19.60052053;23.16612487;18.78316412;9.830682782
1840;28.39895952;27.51753107;22.40188507;21.13227208;21.77613305;23.25990171;19.92070217;10.71769059
